id,make,model,model_year,vin
1,Honda,Accord,2001,1G6DM8EV2A0468647
2,Nissan,Frontier,2010,2T1KU4EE8BC434684
3,Mercury,Villager,1994,WAUJC68E34A069549
4,Toyota,Tundra,2011,3C3CFFCR2FT398577
5,Bentley,Azure,2009,WAUXD68D92A509530
6,Alfa Romeo,Spider,1992,5J6TF1H5XEL340855
7,Saturn,S-Series,1999,1J4RG4GK2AC283934
8,Hyundai,Tucson,2005,WP0CA2A82AS323871
9,GMC,Sierra Hybrid,2006,1N4CL2AP9AC114578
10,Chevrolet,Colorado,2012,5N1AA0ND4FN050498
11,Subaru,Forester,2005,JN8AZ1MU1EW165836
12,Mitsubishi,Montero,1997,1G6KE54Y51U403587
13,Lexus,RX,2005,WAUAG78E56A420457
14,Volvo,S40,2003,JH4CU2F67CC175551
15,Buick,Park Avenue,1991,WAUFFAFC5DN559839
16,Toyota,Celica,2001,WVWEU9AN2AE832534
17,Nissan,Sentra,2007,1FTMF1EW8AK196971
18,Volvo,S80,2005,WBAYP9C58FD822828
19,Volkswagen,Type 2,1990,KNAGM4AD8F5084492
20,Chevrolet,Express 2500,2001,JH4DC53074S168163
21,Honda,CR-V,2001,3GYT4LEF4DG863251
22,Mercedes-Benz,S-Class,2000,WAUJT68E95A697231
23,Subaru,Outback,2008,SCFBF04B08G356262
24,Volvo,240,1992,JHMZE2H58DS022924
25,Volkswagen,Cabriolet,1989,19XFB2E57CE779039
26,Mercedes-Benz,G-Class,2010,WA1CGAFE7DD795963
27,Subaru,Impreza,2001,JTEBU5JRXA5681727
28,Dodge,Caravan,1998,3N1CN7AP8FL335055
29,Plymouth,Roadrunner,1969,1N4AA5AP2AC178816
30,Chevrolet,Aveo,2005,5J8TB4H54EL064953
31,Mazda,MPV,2000,1C3CDZCB9EN727817
32,Aston Martin,V8 Vantage,2010,1G6KD57Y57U743037
33,Dodge,Dakota Club,2005,1FTMF1E88AF418449
34,Buick,Century,1998,5N1AT2MK5EC653783
35,Ford,Thunderbird,1990,JH4CW2H61DC151349
36,Ford,Explorer,2006,JN8AE2KP3C9980999
37,Volkswagen,R32,2009,5GAEV23788J173154
38,Oldsmobile,Cutlass Supreme,1992,WAU4FBFL8AA275475
39,Pontiac,Grand Am,1991,5N1AN0NU0FN121328
40,Mitsubishi,Pajero,2005,JH4CU2F60AC622704
41,Ford,Explorer,2006,JN1CV6EK0EM551320
42,Cadillac,Escalade EXT,2007,WA1YD54B04N075056
43,Ford,Fusion,2006,3C63D3NL7CG590694
44,Nissan,Quest,1999,WAUAG78E06A477567
45,GMC,EV1,1999,1G6D25EY3B0412104
46,Pontiac,Torrent,2006,SCBLF34F62C145107
47,Volkswagen,Golf,1999,WDDEJ7KB6DA867273
48,Scion,xD,2010,WAUDV74FX7N682891
49,GMC,Yukon,2001,1C4RDHDG8EC171201
50,Mitsubishi,Tredia,1987,1FTEW1C85AK934265
51,Lexus,SC,1995,WBAPH5C59BA746968
52,Pontiac,Gemini,1987,5XYKT3A17CG586574
53,Oldsmobile,98,1994,KNAFT4A29A5222546
54,Toyota,Prius Plug-in Hybrid,2012,KMHTC6AD6CU619459
55,Volvo,V40,2004,WBAUU3C57BA738905
56,Ford,F150,1998,WAULT68E24A411405
57,Ford,E250,1984,JN1AZ4EH3FM388071
58,GMC,Yukon Denali,2000,WDDHF5KB2EA212192
59,Bentley,Continental Flying Spur,2010,SCBBR93W08C952206
60,Pontiac,Torrent,2008,WUARL48H54K885406
61,BMW,650,2006,1FBSS3BL8AD957757
62,Suzuki,Forenza,2006,3GTU2YEJ7CG366999
63,Chevrolet,Camaro,1992,5FRYD3H92GB157695
64,Ford,Escort,1992,WAUHGBFC7CN997787
65,Chrysler,Town & Country,2002,WAU3FAFRXAA563055
66,Mazda,B-Series,2003,5N1AR2MM2DC878791
67,Chevrolet,Camaro,1968,1GYS4JEF7BR457025
68,Volkswagen,Scirocco,1988,5TDBK3EH7DS458057
69,Aston Martin,DBS,2010,JHMFA3F2XBS586116
70,Land Rover,Defender,1993,2T1BURHEXFC107623
71,Ford,Probe,1994,WAUDH68D61A474368
72,Aston Martin,DB9,2007,1FTEW1C80AF226644
73,Volvo,S80,1999,SALVP2BGXEH699386
74,Isuzu,i-Series,2006,2C3CDXCTXDH692385
75,Jeep,Cherokee,2000,2G61R5S35F9770405
76,Hyundai,Entourage,2009,WA1YD64B24N840337
77,Pontiac,1000,1985,WP1AA2AP4AL493623
78,Dodge,Durango,2009,WBA3C3G50FN401953
79,Ford,Thunderbird,2003,WAUXU64B03N836705
80,Chrysler,300M,2000,WBALW7C52CC230067
81,Chevrolet,Suburban 2500,2006,WAUHE98PX9A582459
82,Mazda,Miata MX-5,1996,5GADV23L45D821737
83,Land Rover,Discovery,2011,WBAGN83454D770803
84,Mitsubishi,Outlander,2010,WBA3T3C56EJ758713
85,Subaru,Legacy,2005,2C4RDGBG6FR082622
86,Toyota,Tacoma,2003,WP1AA2A27EL093310
87,Ford,Edge,2012,1GYUCEEJ7AR035293
88,Lamborghini,Diablo,2001,JH4KA96591C494287
89,Chevrolet,Malibu,2004,3GYFK66N35G378823
90,Volvo,S40,2008,1N4AB7APXDN974697
91,Honda,S2000,2000,WBA1F5C51EV431316
92,Toyota,Previa,1991,2G4WC582181360278
93,Chevrolet,Silverado 2500,1999,1FTEW1CM1BK388496
94,Saab,900,1995,WBA3B9G50FN276720
95,Nissan,350Z Roadster,2006,5NPDH4AE9CH813288
96,Mitsubishi,Chariot,1996,19UUB3F79FA813214
97,Chevrolet,Astro,2002,WAUUL98EX6A680700
98,Acura,RL,2005,19XFB2E51CE296548
99,Dodge,D350,1993,1G6DL1E32D0153778
100,Dodge,Intrepid,2000,1NXBU4EE6AZ333284
101,Subaru,Legacy,1996,WAUDF98E76A108846
102,Nissan,Murano,2011,3D73Y4EL2AG682625
103,GMC,Sonoma Club Coupe,1996,5J8TB4H59FL230966
104,Toyota,4Runner,2008,WAUHFAFL3DA437819
105,Ford,Expedition,2010,WBADX7C58BE753985
106,Dodge,Ram 2500 Club,1995,1FTSX2A50AE527242
107,Toyota,Corolla,2003,1C6RD7HT3CS964529
108,Lotus,Esprit,1997,5NPEB4AC3EH428350
109,Jaguar,XJ,2009,WAUKG98E56A348336
110,Land Rover,Freelander,2002,1G4GJ5E38CF467711
111,Dodge,Caravan,2000,1FTNF1E84AK129290
112,Maybach,57,2006,WVGEG9BP5CD278594
113,Chrysler,Town & Country,2004,YV4952CT1D1383731
114,Lincoln,Mark LT,2007,WA1C8AFP7EA945314
115,Chevrolet,Silverado 2500,2008,1GKUKGEJ1AR329989
116,Chevrolet,Corvette,1956,KMHHT6KJ5FU936423
117,Mitsubishi,Galant,1996,3C6JD6EP8CG828161
118,Pontiac,Gemini,1986,1FTEW1C83AK522605
119,BMW,7 Series,2001,WBA3B1C59EK417887
120,Toyota,Tacoma Xtra,2001,WA1AY74L07D940290
121,Pontiac,Turbo Firefly,1988,WBACN33441L248294
122,Audi,riolet,1997,KNAFK4A60F5884660
123,Hummer,H1,2006,2CTALMEC0B6667218
124,Audi,90,1995,2FMDK3AC2AB839131
125,Hyundai,Veracruz,2011,WAUDG94FX5N622676
126,Nissan,Altima,2009,1HGCR6F53EA356969
127,Plymouth,Neon,1998,WBAFV3C55ED329763
128,Mercedes-Benz,CLS-Class,2006,3C63DPJL4CG063208
129,Chevrolet,Cobalt SS,2009,1D7CE3BK3AS220677
130,Dodge,Daytona,1992,ZFBCFAAH5EZ805665
131,Chevrolet,Express 2500,1996,1G4CU541724117714
132,Ford,Freestar,2004,1N6AA0CC3AN971888
133,Audi,Quattro,1993,1G6DK5ED3B0190581
134,Pontiac,Solstice,2008,TRUVD38J791210763
135,Volkswagen,Jetta,1984,JTHKD5BH6D2319943
136,Volkswagen,Jetta,2002,WBAFR7C50BC405936
137,Cadillac,Escalade,2006,1GTC5MF94C8967227
138,Hummer,H1,1995,SCFEBBAC2AG144194
139,Buick,Regal,2002,WUARL48HX9K766189
140,Buick,Rendezvous,2005,KNDMA5C17F6982678
141,Jaguar,XJ,2009,1GD311CGXFZ946678
142,Dodge,Dakota,1993,WAUKF98E95A808714
143,GMC,Suburban 2500,1995,1FTEW1CW7AK464688
144,BMW,X5 M,2013,1G4GF5G3XCF693800
145,MINI,Countryman,2011,WAUDH74F27N570139
146,Aston Martin,Vantage,2006,WBAXG5C55DD772620
147,BMW,760,2006,1G6AE5SX4E0151530
148,Buick,Century,1985,1C4SDHCT9EC352744
